cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2004dt,43,46,0,0,46,46,0,0,0,0,0,0,0,0,0,0.0197,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004ef,34,47,0,0,42,44,0,0,0,0,0,0,6,0,0,0.031,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004eo,36,34,0,0,38,39,0,0,0,0,0,0,15,0,0,0.0157,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004ey,25,26,0,0,30,30,0,0,0,0,0,0,10,0,0,0.0158,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004gc,0,26,0,0,26,28,0,0,0,0,0,0,0,0,0,0.0321,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004gs,19,49,0,0,43,53,0,0,0,0,0,0,17,0,0,0.0267,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004gu,12,24,0,0,26,26,0,0,0,0,0,0,6,0,0,0.0459,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005A,0,28,0,0,17,28,0,0,0,0,0,0,14,0,0,0.0191,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005M,38,59,0,0,55,57,0,0,0,0,0,0,20,0,0,0.022,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005W,16,20,0,0,20,21,0,0,0,0,0,0,0,0,0,0.0089,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005ag,0,41,0,0,35,43,0,0,0,0,0,0,5,0,0,0.0797,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005al,35,35,0,0,35,35,0,0,0,0,0,0,8,0,0,0.0124,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005am,37,34,0,0,35,31,0,0,0,0,0,0,9,0,0,0.0079,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005be,7,12,0,0,13,13,0,0,0,0,0,0,0,0,0,0.035,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005bg,15,15,0,0,17,17,0,0,0,0,0,0,0,0,0,0.0231,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005bl,7,11,0,0,11,12,0,0,0,0,0,0,0,0,0,0.0241,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005bo,8,9,0,0,9,10,0,0,0,0,0,0,0,0,0,0.0139,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005el,24,22,0,0,24,23,0,0,38,0,0,0,4,0,0,0.0149,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005eq,19,27,0,0,27,26,0,0,25,0,0,0,1,0,0,0.029,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005gj,13,23,0,0,23,12,0,10,24,0,0,0,17,0,0,0.0616,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
