#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-03-06T19:44:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c8022ba1b073	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-nav=cat:J/ApJ/773/53&tab:{J/ApJ/773/53/table1}&key:source=J/ApJ/773/53/table1&HTTPPRM:&&-ref=VIZ5c8022ba1b073&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/ApJ/773/53/table1&-out=SN&-out=Ns&-out=M&-out=Ep1&-out=Ep2&-out=Type&-out=Wst&-out=Bst&-out=z&-out=f_z&-out=T0&-out=Bmag&-out=Dm15&-out=E(B-V)&-out=B-V&-out=DBMag&-out=CSP&-out=Simbad&-out=NED&-out=_RA&-out=_DE&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=5&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/ApJ/773/53/table1
#-source=J/ApJ/773/53/table1
#-out=SN
#-out=Ns
#-out=M
#-out=Ep1
#-out=Ep2
#-out=Type
#-out=Wst
#-out=Bst
#-out=z
#-out=f_z
#-out=T0
#-out=Bmag
#-out=Dm15
#-out=E(B-V)
#-out=B-V
#-out=DBMag
#-out=CSP
#-out=Simbad
#-out=NED
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_17730053
#Name: J/ApJ/773/53
#Title: Type Ia SNe spectroscopy by the CSP (Folatelli+, 2013)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_773_53_table1:
#Name: J/ApJ/773/53/table1
#Title: Summary of observations, classification, and photometric properties of the SN-Ia sample
#Column	SN	(A6)	SN name (YYYYaa) (1)	[ucd=meta.id;meta.main]
#Column	Ns	(I3)	Number of new spectroscopic observations [NULL integer written as an empty string]	[ucd=meta.number]
#Column	M	(A1)	Observations at B-light maximum (tables 3 and 6)	[ucd=meta.ref.url]
#Column	N	(I2)	[0/19]? Number of spectroscopic epochs [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Ep1	(F5.1)	[-13/43]? Epoch minimum range (2)	[ucd=time.phase]
#Column	Ep2	(F6.1)	[-5/285]? Epoch maximum range (2)	[ucd=time.phase]
#Column	Type	(a8)	Spectral subtype based on SNID comparisons (Blondin & Tonry 2007ApJ...666.1024B)	[ucd=src.spType]
#Column	Wst	(A4)	Spectral subtype based on the scheme of Wang et al. (3)	[ucd=src.spType]
#Column	Bst	(A2)	Spectral subtype based on pW (4)	[ucd=src.spType]
#Column	z	(F8.5)	[0.004/0.09]? Heliocentric redshift from NED, except flagged	[ucd=src.redshift]
#Column	f_z	(A1)	[a] Redshift of host galaxy (5)	[ucd=meta.code]
#Column	zCMB	(F8.5)	[0.004/0.09]? redshift in the 3K CMB frame converted from z using the NED application	[ucd=src.redshift]
#Column	T0	(F7.1)	? Reduced Julian Date (JD-2400000) of B-band maximum light	[ucd=time.epoch]
#Column	Bmag	(F6.3)	[12.2/19]? Corrected apparent B-band peak magnitude (6)	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	[0.005/0.2]? Bmag uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Dm15	(F6.3)	[0.7/2]? Observed decline rate, {Delta}m_15_(B)	[ucd=src.var.amplitude]
#Column	e_Dm15	(F6.3)	[0.005/0.3]? Dm15 uncertainty	[ucd=stat.error]
#Column	E(B-V)	(F6.3)	[0/0.4]? Galactic reddening from NED	[ucd=phot.color.excess]
#Column	B-V	(F6.3)	[-0.2/1.2]? Pseudo-color at maximum light	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	[0.008/0.2]? B-V uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	n_B-V	(A1)	[Y] Low host-galaxy reddening? (7)	[ucd=meta.note]
#Column	DBMag	(F5.2)	[-0.7/0.8]? B-band absolute peak magnitude residual ({Delta}M_B_) (8)	[ucd=phot.mag;arith.diff]
#Column	e_DBMag	(F5.2)	[0.06/0.6]? DBMag uncertainty	[ucd=stat.error;phot.mag]
#Column	CSP	(I3)	Display the Carnegie Supernova Project data for this SN (if any) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
SN	Ns	M	N	Ep1	Ep2	Type	Wst	Bst	z	f_z	zCMB	T0	Bmag	e_Bmag	Dm15	e_Dm15	E(B-V)	B-V	e_B-V	n_B-V	DBMag	e_DBMag	CSP	Simbad	NED	_RA	_DE
 	 	 	 	d	d	 	 	 	 	 	 	d	mag	mag	mag	mag	mag	mag	mag	 	mag	mag	 	 	 	deg	deg
------	---	-	--	-----	------	--------	----	--	--------	-	--------	-------	------	------	------	------	------	------	------	-	-----	-----	---	------	---	---------	---------
2004dt	  5	M	 5	 23.2	 102.6	Normal  	HV  	BL	 0.01973	 	 0.01883	53239.1	15.000	 0.035	 1.235	 0.072	 0.023	-0.046	 0.047	 	-0.39	 0.18	  1	Simbad	NED	030.55321	-00.09764
2004ef	  8	M	 8	 -8.0	  37.5	Normal  	HV  	BL	 0.03099	 	 0.02979	53264.0	16.828	 0.019	 1.379	 0.061	 0.056	 0.102	 0.027	 	-0.09	 0.12	  1	Simbad	NED	340.54175	+19.99456
2004eo	  3	M	 3	-10.5	  24.9	Normal  	N   	CL	 0.01570	 	 0.01475	53278.2	15.067	 0.011	 1.365	 0.063	 0.108	 0.055	 0.020	Y	-0.16	 0.17	  1	Simbad	NED	308.22579	+09.92853
2004ey	  4	M	 4	 -0.3	  47.9	Normal  	N   	CN	 0.01579	 	 0.01464	53303.9	14.713	 0.011	 0.930	 0.013	 0.139	-0.063	 0.022	Y	 0.15	 0.16	  1	Simbad	NED	327.28254	+00.44422
2004gc	  4	 	 4	 10.8	  33.1	Normal  	    	  	 0.03070	 	 0.03074	53324.6	16.649	 0.028	 1.088	 0.055	 0.206	 0.150	 0.037	 	-0.25	 0.13	  1	Simbad	NED	080.45812	+06.67603
2004gs	  2	M	 2	 -3.1	   2.7	Normal  	N   	CL	 0.02665	 	 0.02752	53356.0	17.132	 0.017	 1.613	 0.082	 0.031	 0.158	 0.044	 	 0.07	 0.16	  1	Simbad	NED	129.59658	+17.62772
2004gu	  1	M	 1	 -4.3	      	Normal  	91T 	SS	 0.04586	 	 0.04693	53363.4	17.478	 0.017	 0.888	 0.299	 0.027	 0.189	 0.021	 	-0.33	 0.23	  1	Simbad	NED	191.60300	+11.94892
2005A 	  3	M	 3	  4.1	  32.6	Normal  	HV  	BL	 0.01914	 	 0.01835	53380.4	18.141	 0.151	 1.222	 0.183	 0.030	 1.019	 0.192	 	-0.10	 0.58	  1	Simbad	NED	037.68021	-02.93883
2005M 	  9	M	 9	  0.3	  68.5	91T     	91T 	SS	 0.02462	 	 0.02560	53405.4	15.924	 0.038	 0.844	 0.066	 0.031	 0.018	 0.039	Y	-0.03	 0.15	  1	Simbad	NED	144.38483	+23.20075
2005W 	  1	M	 1	 -7.3	      	        	N   	BL	 0.00889	 	 0.00796	53411.8	14.138	 0.009	 1.225	 0.071	 0.071	 0.090	 0.070	 	     	     	  1	Simbad	NED	027.69062	+21.75989
2005ag	  4	M	 4	 -0.1	  46.1	Normal  	N   	BL	 0.07980	a	 0.08040	53414.0	18.447	 0.060	 0.920	 0.169	 0.041	-0.003	 0.125	Y	-0.08	 0.37	  1	Simbad	NED	224.18187	+09.32847
2005al	  7	 	 7	 14.7	  49.3	Normal  	    	  	 0.01240	 	 0.01329	53429.9	14.870	 0.020	 1.166	 0.031	 0.055	-0.034	 0.022	Y	 0.27	 0.18	  1	Simbad	NED	207.50137	-30.57617
2005am	  7	M	 7	  7.9	  38.6	Normal  	HV  	BL	 0.00790	 	 0.00897	53436.6	13.639	 0.009	 1.514	 0.076	 0.054	 0.045	 0.015	Y	     	     	  1	Simbad	NED	139.05196	-16.30444
2005be	  4	 	 4	  7.0	  18.6	Normal  	    	  	 0.03502	 	 0.03562	53460.6	16.887	 0.035	 1.472	 0.077	 0.034	 0.019	 0.046	 	-0.27	 0.16	  1	Simbad	NED	224.88633	+16.66989
2005bg	  3	M	 3	  2.0	   8.8	Normal  	N   	SS	 0.02309	 	 0.02417	53470.7	15.881	 0.042	 1.021	 0.079	 0.032	 0.041	 0.061	 	-0.13	 0.20	  1	Simbad	NED	184.32179	+16.37150
2005bl	  2	M	 2	 -8.4	  -4.5	91bg    	91bg	CL	 0.02406	 	 0.02513	53484.2	18.221	 0.031	 1.802	 0.038	 0.029	 0.558	 0.035	 	 0.12	 0.14	  1	Simbad	NED	181.05108	+20.40689
2005bo	  2	M	 2	 -1.0	   0.0	Normal  	N   	CN	 0.01390	 	 0.01502	53479.8	15.662	 0.009	 1.299	 0.078	 0.046	 0.290	 0.017	 	-0.19	 0.16	  1	Simbad	NED	192.42096	-11.09650
2005el	  6	M	 4	 -7.2	  14.6	Normal  	N   	CN	 0.01491	 	 0.01490	53647.1	14.821	 0.021	 1.348	 0.040	 0.114	-0.014	 0.022	Y	-0.22	 0.16	  1	Simbad	NED	077.95300	+05.19428
2005eq	  4	M	 2	 -5.4	   7.2	91T     	91T 	SS	 0.02898	 	 0.02837	53654.4	16.306	 0.026	 0.773	 0.022	 0.077	 0.099	 0.042	 	-0.05	 0.14	  1	Simbad	NED	047.20546	-07.03325
2005hc	  4	M	 3	 -5.1	   0.7	Normal  	N   	CN	 0.04594	 	 0.04501	53667.1	17.305	 0.033	 0.912	 0.092	 0.029	 0.004	 0.036	Y	 0.08	 0.13	  1	Simbad	NED	029.19990	-00.21351
