cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
679,Unknown,20,21,0,0.124957,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
682,Unknown,35,37,0,0.048551,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
688,Unknown,20,20,0,0.067866,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
691,Unknown,21,21,0,0.130903,53594.15138324945,6.110639457369279e-09,nan,1.3634965734490834,5.730640627537283e-10,38.20115764175972,40,Minimization exited successfully.
694,Unknown,35,37,0,0.127493,53612.35004181483,4.846066034243323e-09,nan,0.2500489581034344,6.849292149227292e-11,280.83686195265983,70,Minimization exited successfully.
697,Unknown,41,42,0,0.156675,53606.99142246177,7.939134514527882e-10,nan,0.5690561506744416,3.462815291115247e-11,247.30018989335133,123,Minimization exited successfully.
701,Unknown,21,22,0,0.20657,53598.57276205661,1.75520481038273e-09,nan,0.8079088345220953,1.0763038112444749e-10,52.54012261094181,63,Minimization exited successfully.
703,zSNIa,0,22,0,0.298042,53608.22630908975,1.3880192572688787e-09,nan,0.5990577566844877,5.311282216915435e-11,121.54130569891635,42,Minimization exited successfully.
704,Unknown,22,22,0,0.206416,53599.31517039896,1.1535936298532993e-09,nan,0.886081351149187,7.206208346147405e-11,68.34400753848874,63,Minimization exited successfully.
711,Unknown,0,0,0,1.11398,53613.33401424143,1.1507715501147684e-09,nan,1.2985507085904828,1.1143599919906077e-10,381.1039628277939,58,Minimization exited successfully.
716,zSNII,0,42,0,0.324,53614.534664121114,4.826652005404973e-09,nan,0.1010256248555379,4.4491369043551436e-11,8719.381452920139,81,Minimization exited successfully.
717,Unknown,20,20,0,0.130392,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
722,SNIa,21,21,0,0.086341,53603.87789285557,1.4277139552037126e-08,nan,0.26873389128013514,4.429024573263555e-10,151.67842464243796,40,Minimization exited successfully.
735,zSNIa,20,21,0,0.190858,53601.528937394956,1.3727633669597184e-09,nan,0.6594270272435097,6.887817420876577e-11,67.93306115049629,59,Minimization exited successfully.
739,SNIa,20,20,0,0.107638,53602.28870032557,7.629127050497284e-09,nan,0.2906111171723751,1.7186326606295426e-10,66.38729870173361,38,Minimization exited successfully.
744,SNIa,21,20,0,0.128251,53603.998552371304,6.528773345400705e-09,nan,0.4535742741863942,2.8639118414104406e-10,113.164565164956,39,Minimization exited successfully.
762,SNIa,20,20,0,0.191381,53554.67126825251,2.1136518920823527e-08,nan,0.9539830998946854,5.401322809621166e-10,1395.8116718063018,58,Minimization exited successfully.
764,zSNII,19,21,0,0.187068,53604.21433526315,9.718797594588383e-10,nan,0.9064292791190383,5.865809327809308e-11,148.45096446467426,59,Minimization exited successfully.
765,zSNII,0,24,0,0.261047,53607.37922332424,1.4854770019690065e-09,nan,0.4011561347870156,5.5488821892650166e-11,714.5972771604097,46,Minimization exited successfully.
770,Unknown,0,23,0,0.042391,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
772,zSNII,23,24,0,0.210315,53604.68028085801,9.71630544585542e-10,nan,0.7473735245548596,5.882036824454478e-11,139.72402661130553,68,Minimization exited successfully.
774,SNIa,22,22,0,0.093331,53604.352872905045,1.235605756776865e-08,nan,0.18870429384696763,2.446032278133909e-10,119.53369481220753,42,Minimization exited successfully.
